Grupo ID;Insumo Original
Grupo 5;"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 2 1/2" X 1" CLASE 150 ASTM A197 - ROSCADO"
Grupo 6;"REDUCCION BUSHING SCH - 40 1 1/2" - 1 1/4""
Grupo 6;"REDUCCION BUSHING SCH - 40 2" - 1 1/4""
Grupo 6;"REDUCCION BUSHING SCH - 40 1 1/4" - 1""
Grupo 7;"TUBERIA DE COBRE TIPO K ø 1/2""
Grupo 7;"TUBERIA DE COBRE TIPO K ø 2 1/2""
Grupo 7;"TUBERIA DE COBRE TIPO K ø 1""
Grupo 7;"TUBERIA DE COBRE TIPO K Ø1/2""
Grupo 8;"UNION FLEXIBLE ø 1/2""
Grupo 8;"UNION FLEXIBLE Ø 2 1/2""
Grupo 8;"UNION FLEXIBLE ø 1""
Grupo 8;"UNION FLEXIBLE ø 3""
Grupo 9;"REDUCCION BUSHING SCH - 40 2" - 1 1/2""
Grupo 9;"REDUCCION BUSHING SCH - 40 2" - 1""
Grupo 9;"REDUCCION BUSHING  SCH - 40 1 1/2" - 1""
Grupo 10;"UNION SIMPLE DE COBRE DE 1 1/2""
Grupo 10;"UNION SIMPLE DE COBRE DE 1/2""
Grupo 10;"UNION SIMPLE DE COBRE DE 1""
Grupo 10;"UNION SIMPLE DE COBRE DE 2""
Grupo 10;"UNION SIMPLE DE COBRE DE 1 1/4""
Grupo 11;"TUBERIA CEDULA - 40 DE 1 1/2""
Grupo 11;"TUBERIA CEDULA - 40 DE 2 1/2""
Grupo 12;"ADAPTADOR DE COBRE ROSCA MACHO 1/2""
Grupo 12;"ADAPTADOR DE COBRE ROSCA MACHO 2 1/2""
Grupo 12;"ADAPTADOR DE COBRE ROSCA MACHO 1 1/2""
Grupo 12;"ADAPTADOR DE COBRE ROSCA MACHO 1""
Grupo 12;"ADAPTADOR DE COBRE ROSCA MACHO 2""
Grupo 13;"UNION SIMPLE DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" CLASE 150 ASTM A197 - ROSCADO"
Grupo 13;"UNION SIMPLE DE FIERRO MALEABLE GALVANIZADO DE 2 1/2 "CLASE 150 ASTM A197 - ROSCADO"
Grupo 14;"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1 1/4""
Grupo 14;"REDUCCION DE COBRE SOLDABLE 1 1/4" - 1/2""
Grupo 14;"REDUCCION DE COBRE SOLDABLE 2 1/2" - 1 1/4""
Grupo 14;"REDUCCION DE COBRE SOLDABLE 2" - 1 1/4""
Grupo 14;"REDUCCION DE COBRE SOLDABLE 4" - 2 1/2""
Grupo 14;"REDUCCION DE COBRE SOLDABLE 4" - 2""
Grupo 14;"REDUCCION DE COBRE SOLDABLE 1 1/4" - 1""
Grupo 15;"JUNTA FLEXIBLE METAFLEX O SIMILAR, TUBERIA DE 1 1/2""
Grupo 15;"JUNTA FLEXIBLE METAFLEX O SIMILAR, TUBERIA DE 1/2""
Grupo 15;"JUNTA FLEXIBLE METAFLEX O SIMILAR, TUBERIA DE 1""
Grupo 16;"UNION UNIVERSAL 1 1/2" CLASE150 MI 197 - ROSCADO FIERRO MALEABLE"
Grupo 16;"UNION UNIVERSAL 1/2" CLASE150 MI 197 - ROSCADO FIERRO MALEABLE"
Grupo 16;"UNION UNIVERSAL 1" CLASE150 MI 197 - ROSCADO FIERRO MALEABLE"
Grupo 17;"TEE MECANICA SCH - 40 4" - 1 1/4""
Grupo 17;"TEE MECANICA SCH - 40 4" - 1""
Grupo 17;"TEE MECANICA SCH - 40 6" - 1 1/4""
Grupo 18;"UNION UNIVERSAL DE BRONCE 1 1/2""
Grupo 18;"UNION UNIVERSAL DE BRONCE 1/2""
Grupo 18;"UNION UNIVERSAL DE BRONCE 2 1/2""
Grupo 18;"UNION UNIVERSAL DE BRONCE 2""
Grupo 18;"UNION UNIVERSAL DE BRONCE 1""
Grupo 19;"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOXIDABLE 1 1/2", 1M"
Grupo 19;"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOXIDABLE 1/2", 1M"
Grupo 19;"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOXIDABLE 2", 1M"
Grupo 19;"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOXIDABLE 1", 1M"
Grupo 19;"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOXIDABLE 1 1/4", 1M"
Grupo 19;"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOXIDABLE 3/4", 1M"
Grupo 20;"COLGADOR TIPO GOTA 1/2" INCL ACCESORIOS"
Grupo 20;"COLGADOR TIPO GOTA 2 1/2" INCL ACCESORIOS"
Grupo 20;"COLGADOR TIPO GOTA 1 1/2" INCL ACCESORIOS"
Grupo 20;"COLGADOR TIPO GOTA 1" INCL ACCESORIOS"
Grupo 20;"COLGADOR TIPO GOTA 2" INCL ACCESORIOS"
Grupo 20;"COLGADOR TIPO GOTA 1 1/4" INCL ACCESORIOS"
Grupo 20;"COLGADOR TIPO GOTA 6" INCL ACCESORIOS"
